Usuário,Objetivo do treino,Tempo (min),Distância (km),Histórico de lesão,Pace (min/km),Peso (kg),Altura (cm),Atividades/semana,Nível,objetivo_encoded,lesao_encoded,nivel_encoded
2662,Bem-estar,174,33.0,Sim,5.27,75.6,185.0,4,Intermediário,0,1,2
2663,Bem-estar,25,2.9,Não,8.55,81.5,162.0,2,Iniciante,0,0,1
2664,Bem-estar,36,6.3,Não,5.74,70.9,188.0,4,Iniciante,0,0,1
2665,Bem-estar,118,13.3,Não,8.86,70.9,157.0,6,Intermediário,0,0,2
2666,Emagrecimento,100,18.7,Não,5.35,51.9,172.0,1,Intermediário,1,0,2
2667,Maratona,21,2.4,Não,8.76,71.7,185.0,2,Intermediário,2,0,2
2668,Maratona,96,11.5,Não,8.36,83.7,157.0,1,Intermediário,2,0,2
2669,Maratona,85,11.2,Não,7.56,71.1,180.0,5,Intermediário,2,0,2
2670,Bem-estar,71,8.1,Não,8.75,93.6,190.0,5,Intermediário,0,0,2
2671,Bem-estar,111,18.0,Não,6.15,66.6,180.0,2,Intermediário,0,0,2
2672,Maratona,41,7.7,Não,5.33,56.6,176.0,3,Intermediário,2,0,2
2673,Bem-estar,130,24.6,Não,5.29,90.6,192.0,6,Intermediário,0,0,2
2674,Maratona,126,21.5,Não,5.85,83.7,199.0,7,Avançado,2,0,0
2675,Maratona,86,12.8,Não,6.73,62.1,159.0,6,Intermediário,2,0,2
2676,Maratona,159,17.9,Não,8.88,76.8,185.0,7,Avançado,2,0,0
2677,Maratona,88,17.8,Não,4.95,70.1,154.0,4,Avançado,2,0,0
2678,Maratona,103,11.3,Não,9.08,96.9,152.0,7,Intermediário,2,0,2
2679,Maratona,122,13.4,Sim,9.13,80.4,164.0,2,Avançado,2,1,0
2680,Maratona,58,7.1,Não,8.14,57.9,199.0,6,Intermediário,2,0,2
2681,Bem-estar,32,3.6,Não,9.0,75.1,178.0,7,Iniciante,0,0,1
2682,Maratona,60,7.2,Não,8.35,93.1,163.0,4,Intermediário,2,0,2
2683,Maratona,76,10.6,Sim,7.14,83.6,157.0,1,Intermediário,2,1,2
2684,Bem-estar,31,4.1,Não,7.5,92.1,196.0,7,Iniciante,0,0,1
2685,Bem-estar,32,4.2,Não,7.64,62.5,168.0,3,Iniciante,0,0,1
2686,Bem-estar,139,27.1,Não,5.13,94.4,165.0,4,Intermediário,0,0,2
2687,Maratona,116,21.2,Não,5.47,87.8,193.0,5,Avançado,2,0,0
2688,Emagrecimento,76,10.7,Não,7.12,86.4,180.0,7,Intermediário,1,0,2
2689,Emagrecimento,59,11.6,Não,5.08,67.3,158.0,5,Intermediário,1,0,2
2690,Bem-estar,137,14.7,Não,9.32,94.4,171.0,1,Intermediário,0,0,2
2691,Emagrecimento,99,14.1,Não,7.04,81.9,196.0,2,Intermediário,1,0,2
2692,Bem-estar,147,23.0,Não,6.4,92.6,195.0,4,Intermediário,0,0,2
2693,Maratona,54,10.2,Não,5.29,68.0,154.0,7,Intermediário,2,0,2
2694,Emagrecimento,22,3.3,Não,6.58,57.3,163.0,7,Iniciante,1,0,1
2695,Maratona,139,23.1,Sim,6.01,66.6,158.0,1,Avançado,2,1,0
2696,Emagrecimento,24,4.9,Não,4.94,72.8,177.0,7,Iniciante,1,0,1
2697,Maratona,30,3.2,Não,9.34,76.7,187.0,5,Intermediário,2,0,2
2698,Emagrecimento,145,24.9,Não,5.82,75.5,165.0,7,Avançado,1,0,0
2699,Maratona,90,11.3,Não,7.95,77.3,188.0,7,Intermediário,2,0,2
2700,Maratona,136,27.4,Não,4.96,92.1,183.0,5,Avançado,2,0,0
2701,Emagrecimento,157,17.3,Não,9.07,58.5,186.0,5,Avançado,1,0,0
2702,Maratona,125,16.8,Não,7.45,65.8,197.0,3,Avançado,2,0,0
2703,Maratona,135,17.4,Não,7.78,94.4,171.0,3,Avançado,2,0,0
2704,Maratona,86,10.2,Não,8.41,78.0,167.0,5,Intermediário,2,0,2
2705,Emagrecimento,50,6.6,Sim,7.53,79.2,184.0,6,Intermediário,1,1,2
2706,Emagrecimento,94,19.4,Não,4.85,73.9,190.0,2,Intermediário,1,0,2
2707,Maratona,90,13.5,Não,6.65,77.4,160.0,3,Intermediário,2,0,2
2708,Maratona,85,14.6,Não,5.81,59.9,192.0,4,Intermediário,2,0,2
2709,Emagrecimento,89,12.8,Não,6.93,77.3,153.0,3,Intermediário,1,0,2
2710,Emagrecimento,60,9.2,Não,6.52,99.9,150.0,4,Intermediário,1,0,2
2711,Maratona,179,20.7,Sim,8.63,78.3,158.0,3,Avançado,2,1,0
2712,Maratona,39,6.8,Não,5.74,52.2,199.0,5,Intermediário,2,0,2
2713,Maratona,172,31.2,Não,5.51,89.8,176.0,7,Avançado,2,0,0
2714,Bem-estar,159,17.1,Não,9.29,69.8,152.0,4,Intermediário,0,0,2
2715,Emagrecimento,58,6.3,Não,9.25,57.7,200.0,7,Intermediário,1,0,2
2716,Bem-estar,164,17.3,Não,9.47,93.1,187.0,7,Intermediário,0,0,2
2717,Emagrecimento,64,8.7,Sim,7.34,59.9,192.0,2,Intermediário,1,1,2
2718,Emagrecimento,158,31.2,Não,5.07,96.0,161.0,3,Avançado,1,0,0
2719,Emagrecimento,89,10.0,Não,8.9,72.1,155.0,3,Intermediário,1,0,2
2720,Emagrecimento,144,27.5,Não,5.23,87.1,176.0,5,Avançado,1,0,0
2721,Emagrecimento,170,32.2,Não,5.28,77.3,189.0,4,Avançado,1,0,0
2722,Emagrecimento,110,20.1,Não,5.47,62.8,182.0,6,Intermediário,1,0,2
2723,Emagrecimento,89,11.5,Não,7.77,83.6,182.0,5,Intermediário,1,0,2
2724,Bem-estar,149,29.6,Sim,5.04,97.9,188.0,7,Intermediário,0,1,2
2725,Maratona,103,12.3,Não,8.39,88.5,161.0,4,Intermediário,2,0,2
2726,Maratona,108,22.5,Não,4.79,80.2,183.0,3,Avançado,2,0,0
2727,Bem-estar,98,19.4,Não,5.05,99.5,170.0,3,Intermediário,0,0,2
2728,Bem-estar,132,19.8,Não,6.67,63.3,153.0,3,Intermediário,0,0,2
2729,Bem-estar,112,17.5,Sim,6.4,53.1,160.0,3,Intermediário,0,1,2
2730,Bem-estar,91,9.6,Não,9.45,51.6,190.0,1,Intermediário,0,0,2
2731,Emagrecimento,68,7.3,Não,9.33,85.5,195.0,3,Intermediário,1,0,2
2732,Maratona,71,13.0,Não,5.45,91.5,164.0,3,Intermediário,2,0,2
2733,Emagrecimento,52,5.6,Não,9.23,81.8,160.0,6,Intermediário,1,0,2
2734,Maratona,41,5.2,Não,7.96,95.3,151.0,6,Intermediário,2,0,2
2735,Maratona,133,20.3,Não,6.54,84.9,197.0,4,Avançado,2,0,0
2736,Bem-estar,152,18.5,Não,8.2,68.5,184.0,7,Intermediário,0,0,2
2737,Emagrecimento,37,4.1,Não,9.0,59.1,198.0,3,Iniciante,1,0,1
2738,Bem-estar,137,25.4,Não,5.4,96.2,193.0,3,Intermediário,0,0,2
2739,Emagrecimento,136,24.8,Sim,5.48,55.2,167.0,4,Avançado,1,1,0
2740,Maratona,56,8.6,Sim,6.54,77.1,156.0,7,Intermediário,2,1,2
2741,Bem-estar,83,15.5,Não,5.35,65.7,175.0,3,Intermediário,0,0,2
2742,Bem-estar,157,24.9,Não,6.3,63.6,151.0,3,Intermediário,0,0,2
2743,Maratona,98,12.7,Não,7.73,82.3,157.0,5,Intermediário,2,0,2
2744,Maratona,142,16.6,Não,8.56,61.6,162.0,1,Avançado,2,0,0
2745,Maratona,63,10.5,Não,6.01,95.8,183.0,4,Intermediário,2,0,2
2746,Bem-estar,101,17.1,Não,5.91,70.3,175.0,5,Intermediário,0,0,2
2747,Emagrecimento,106,12.6,Não,8.4,83.9,165.0,6,Intermediário,1,0,2
2748,Bem-estar,35,5.5,Não,6.41,86.4,178.0,7,Iniciante,0,0,1
2749,Emagrecimento,73,8.5,Não,8.59,84.1,156.0,2,Intermediário,1,0,2
2750,Bem-estar,121,12.8,Não,9.47,95.2,188.0,2,Intermediário,0,0,2
2751,Bem-estar,117,12.4,Não,9.4,61.6,186.0,6,Intermediário,0,0,2
2752,Maratona,175,22.4,Não,7.81,54.3,161.0,1,Avançado,2,0,0
2753,Emagrecimento,21,3.3,Não,6.38,52.8,180.0,7,Iniciante,1,0,1
2754,Bem-estar,113,23.4,Não,4.83,93.9,175.0,7,Intermediário,0,0,2
2755,Bem-estar,160,19.5,Não,8.19,98.7,153.0,2,Intermediário,0,0,2
2756,Maratona,78,8.3,Não,9.39,65.1,164.0,1,Intermediário,2,0,2
2757,Maratona,88,18.2,Sim,4.84,84.7,200.0,2,Avançado,2,1,0
2758,Emagrecimento,138,30.5,Não,4.53,50.4,155.0,2,Avançado,1,0,0
2759,Bem-estar,111,12.8,Não,8.66,59.4,175.0,7,Intermediário,0,0,2
2760,Emagrecimento,64,12.8,Não,5.01,84.5,192.0,5,Intermediário,1,0,2
2761,Bem-estar,167,34.0,Sim,4.91,53.3,165.0,7,Intermediário,0,1,2
2762,Emagrecimento,43,4.8,Não,9.05,73.4,163.0,2,Iniciante,1,0,1
2763,Maratona,110,22.4,Sim,4.9,83.1,195.0,7,Avançado,2,1,0
2764,Bem-estar,113,22.3,Não,5.07,88.3,165.0,6,Intermediário,0,0,2
2765,Emagrecimento,77,10.5,Não,7.35,72.7,183.0,1,Intermediário,1,0,2
2766,Maratona,174,21.0,Não,8.28,81.5,187.0,3,Avançado,2,0,0
2767,Maratona,173,26.6,Não,6.5,77.0,189.0,7,Avançado,2,0,0
2768,Emagrecimento,147,22.3,Não,6.6,52.6,200.0,7,Avançado,1,0,0
2769,Bem-estar,26,3.4,Não,7.66,87.1,190.0,3,Iniciante,0,0,1
2770,Bem-estar,66,9.4,Sim,7.03,58.6,183.0,3,Intermediário,0,1,2
2771,Maratona,72,15.7,Não,4.59,51.6,195.0,1,Avançado,2,0,0
2772,Bem-estar,57,11.2,Sim,5.07,72.6,195.0,1,Iniciante,0,1,1
2773,Bem-estar,72,9.7,Não,7.41,93.3,199.0,3,Intermediário,0,0,2
2774,Bem-estar,162,19.1,Não,8.47,57.5,189.0,6,Intermediário,0,0,2
2775,Maratona,173,20.8,Não,8.32,50.6,160.0,2,Avançado,2,0,0
2776,Emagrecimento,67,8.2,Não,8.2,55.5,185.0,3,Intermediário,1,0,2
2777,Bem-estar,114,13.6,Sim,8.36,68.2,154.0,4,Intermediário,0,1,2
2778,Maratona,166,35.2,Não,4.72,79.0,166.0,7,Avançado,2,0,0
2779,Maratona,156,17.4,Não,8.98,59.7,156.0,1,Avançado,2,0,0
2780,Emagrecimento,83,9.3,Não,8.95,90.1,197.0,4,Intermediário,1,0,2
2781,Bem-estar,112,15.6,Não,7.16,87.7,167.0,4,Intermediário,0,0,2
2782,Bem-estar,144,25.1,Não,5.74,84.8,186.0,1,Intermediário,0,0,2
2783,Emagrecimento,58,7.8,Não,7.46,74.4,179.0,7,Intermediário,1,0,2
2784,Emagrecimento,23,3.2,Não,7.29,68.3,155.0,3,Iniciante,1,0,1
2785,Maratona,145,25.8,Não,5.61,68.8,178.0,6,Avançado,2,0,0
2786,Maratona,22,2.9,Não,7.52,75.2,183.0,5,Intermediário,2,0,2
2787,Emagrecimento,83,9.8,Sim,8.49,53.9,194.0,4,Intermediário,1,1,2
2788,Bem-estar,48,5.6,Sim,8.53,84.1,154.0,3,Iniciante,0,1,1
2789,Maratona,135,28.1,Não,4.8,67.6,165.0,5,Avançado,2,0,0
2790,Maratona,30,5.5,Sim,5.49,61.2,185.0,7,Intermediário,2,1,2
2791,Bem-estar,116,14.8,Não,7.84,63.9,152.0,4,Intermediário,0,0,2
2792,Maratona,121,13.7,Não,8.8,59.0,160.0,3,Avançado,2,0,0
2793,Bem-estar,174,24.5,Não,7.11,95.1,161.0,4,Intermediário,0,0,2
2794,Bem-estar,40,5.0,Não,8.04,58.5,183.0,3,Iniciante,0,0,1
2795,Bem-estar,58,12.6,Não,4.61,94.1,164.0,7,Iniciante,0,0,1
2796,Emagrecimento,121,16.0,Sim,7.54,78.6,180.0,6,Avançado,1,1,0
2797,Emagrecimento,65,7.0,Não,9.31,93.4,198.0,7,Intermediário,1,0,2
2798,Emagrecimento,85,10.9,Não,7.81,73.7,190.0,2,Intermediário,1,0,2
2799,Bem-estar,110,12.1,Não,9.11,96.4,167.0,2,Intermediário,0,0,2
2800,Bem-estar,130,17.7,Não,7.33,60.6,174.0,7,Intermediário,0,0,2
2801,Emagrecimento,101,11.6,Sim,8.72,77.7,160.0,1,Intermediário,1,1,2
2802,Maratona,142,27.7,Não,5.12,56.3,151.0,5,Avançado,2,0,0
2803,Bem-estar,118,23.0,Sim,5.12,72.4,164.0,7,Intermediário,0,1,2
2804,Maratona,54,10.6,Sim,5.1,78.5,168.0,7,Intermediário,2,1,2
2805,Maratona,178,25.6,Não,6.94,80.3,178.0,4,Avançado,2,0,0
2806,Bem-estar,175,28.5,Não,6.15,68.3,197.0,4,Intermediário,0,0,2
2807,Bem-estar,122,15.1,Não,8.1,53.8,197.0,3,Intermediário,0,0,2
2808,Maratona,148,16.4,Não,9.01,82.8,154.0,5,Avançado,2,0,0
2809,Maratona,44,5.8,Não,7.6,74.4,181.0,4,Intermediário,2,0,2
2810,Emagrecimento,62,11.1,Não,5.57,56.8,152.0,5,Intermediário,1,0,2
2811,Emagrecimento,103,11.3,Não,9.15,96.8,182.0,7,Intermediário,1,0,2
2812,Bem-estar,70,9.8,Não,7.14,97.8,156.0,5,Intermediário,0,0,2
2813,Emagrecimento,149,18.4,Não,8.1,92.8,197.0,2,Avançado,1,0,0
2814,Emagrecimento,145,16.2,Não,8.95,92.2,193.0,4,Avançado,1,0,0
2815,Emagrecimento,88,9.3,Não,9.45,54.9,151.0,4,Intermediário,1,0,2
2816,Emagrecimento,28,4.0,Não,7.03,99.7,189.0,1,Iniciante,1,0,1
2817,Maratona,21,2.5,Não,8.54,70.0,182.0,5,Intermediário,2,0,2
2818,Bem-estar,178,24.3,Não,7.33,58.2,175.0,3,Intermediário,0,0,2
2819,Emagrecimento,29,4.2,Não,6.93,90.6,180.0,2,Iniciante,1,0,1
2820,Maratona,133,18.5,Não,7.19,61.3,184.0,7,Avançado,2,0,0
2821,Maratona,95,13.7,Não,6.92,76.3,194.0,1,Intermediário,2,0,2
2822,Maratona,104,15.7,Não,6.61,56.4,188.0,2,Avançado,2,0,0
2823,Emagrecimento,68,8.4,Não,8.12,73.7,179.0,3,Intermediário,1,0,2
2824,Emagrecimento,89,15.5,Não,5.75,77.9,191.0,1,Intermediário,1,0,2
2825,Bem-estar,150,19.8,Não,7.58,72.3,199.0,2,Intermediário,0,0,2
2826,Emagrecimento,152,18.9,Não,8.06,53.5,165.0,3,Avançado,1,0,0
2827,Emagrecimento,109,12.2,Não,8.96,74.2,156.0,6,Intermediário,1,0,2
2828,Maratona,45,7.3,Sim,6.16,73.4,187.0,1,Intermediário,2,1,2
2829,Bem-estar,91,10.3,Não,8.8,63.1,199.0,3,Intermediário,0,0,2
2830,Emagrecimento,24,2.6,Não,9.23,96.1,156.0,1,Iniciante,1,0,1
2831,Emagrecimento,34,4.4,Não,7.74,70.9,172.0,4,Iniciante,1,0,1
2832,Maratona,142,17.0,Não,8.36,93.2,153.0,4,Avançado,2,0,0
2833,Maratona,163,25.0,Não,6.53,55.5,189.0,2,Avançado,2,0,0
2834,Emagrecimento,20,2.2,Não,9.26,65.9,197.0,5,Iniciante,1,0,1
2835,Bem-estar,163,20.8,Sim,7.85,58.8,175.0,6,Intermediário,0,1,2
2836,Bem-estar,22,3.6,Não,6.05,70.4,170.0,7,Iniciante,0,0,1
2837,Maratona,66,10.1,Não,6.52,55.6,195.0,5,Intermediário,2,0,2
2838,Maratona,114,15.0,Não,7.59,72.1,157.0,7,Avançado,2,0,0
2839,Emagrecimento,32,5.6,Sim,5.67,67.7,195.0,7,Intermediário,1,1,2
2840,Maratona,139,16.8,Não,8.27,61.2,170.0,7,Avançado,2,0,0
2841,Emagrecimento,74,13.2,Sim,5.62,82.1,178.0,3,Intermediário,1,1,2
2842,Bem-estar,168,22.5,Não,7.46,97.5,176.0,1,Intermediário,0,0,2
2843,Bem-estar,85,10.6,Sim,7.99,60.4,181.0,4,Intermediário,0,1,2
2844,Emagrecimento,174,19.8,Não,8.8,85.6,197.0,5,Avançado,1,0,0
2845,Maratona,109,13.3,Não,8.17,87.1,198.0,7,Intermediário,2,0,2
2846,Bem-estar,81,9.5,Não,8.49,74.9,192.0,4,Intermediário,0,0,2
2847,Maratona,121,13.4,Sim,9.06,94.9,160.0,7,Avançado,2,1,0
2848,Bem-estar,158,21.1,Não,7.49,98.3,167.0,6,Intermediário,0,0,2
2849,Emagrecimento,27,3.1,Sim,8.73,68.1,174.0,3,Iniciante,1,1,1
2850,Emagrecimento,116,20.5,Não,5.66,82.6,195.0,6,Intermediário,1,0,2
2851,Emagrecimento,136,15.9,Não,8.57,83.1,176.0,6,Avançado,1,0,0
2852,Bem-estar,83,14.8,Não,5.61,70.2,199.0,3,Intermediário,0,0,2
2853,Maratona,40,4.4,Não,9.17,65.8,199.0,1,Intermediário,2,0,2
2854,Maratona,134,21.8,Sim,6.15,96.7,180.0,6,Avançado,2,1,0
2855,Maratona,104,19.4,Não,5.36,89.5,194.0,5,Avançado,2,0,0
2856,Bem-estar,39,7.4,Não,5.24,55.7,200.0,7,Iniciante,0,0,1
2857,Bem-estar,27,5.0,Não,5.44,56.0,192.0,3,Iniciante,0,0,1
2858,Bem-estar,77,11.4,Não,6.74,96.1,183.0,3,Intermediário,0,0,2
2859,Bem-estar,65,9.1,Não,7.11,54.1,192.0,7,Intermediário,0,0,2
2860,Bem-estar,50,5.5,Sim,9.07,84.4,154.0,4,Iniciante,0,1,1
2861,Maratona,112,17.5,Não,6.41,61.3,182.0,2,Avançado,2,0,0
2862,Bem-estar,28,5.0,Não,5.59,51.8,161.0,6,Iniciante,0,0,1
2863,Bem-estar,34,4.1,Não,8.22,53.0,156.0,5,Iniciante,0,0,1
2864,Maratona,113,21.9,Não,5.17,68.7,195.0,1,Avançado,2,0,0
2865,Bem-estar,173,19.3,Não,8.96,53.9,182.0,6,Intermediário,0,0,2
2866,Maratona,157,24.0,Sim,6.55,79.8,162.0,7,Avançado,2,1,0
2867,Maratona,48,6.3,Não,7.57,82.4,169.0,1,Intermediário,2,0,2
2868,Emagrecimento,99,18.2,Não,5.43,68.7,199.0,4,Intermediário,1,0,2
2869,Emagrecimento,55,10.5,Não,5.23,87.1,193.0,6,Intermediário,1,0,2
2870,Emagrecimento,103,12.1,Não,8.49,74.5,151.0,1,Intermediário,1,0,2
2871,Emagrecimento,128,19.2,Não,6.65,71.5,199.0,6,Avançado,1,0,0
2872,Bem-estar,137,14.5,Não,9.43,70.3,168.0,3,Intermediário,0,0,2
2873,Emagrecimento,56,7.9,Não,7.12,71.6,185.0,6,Intermediário,1,0,2
2874,Maratona,105,12.0,Sim,8.73,98.4,186.0,5,Intermediário,2,1,2
2875,Bem-estar,90,9.6,Não,9.4,84.1,196.0,6,Intermediário,0,0,2
2876,Emagrecimento,170,28.8,Não,5.91,65.8,194.0,1,Avançado,1,0,0
2877,Maratona,112,13.2,Não,8.5,86.7,164.0,5,Intermediário,2,0,2
2878,Bem-estar,99,21.5,Não,4.61,66.5,182.0,1,Intermediário,0,0,2
2879,Bem-estar,121,15.3,Não,7.9,56.3,170.0,7,Intermediário,0,0,2
2880,Emagrecimento,175,21.3,Sim,8.23,73.8,176.0,7,Avançado,1,1,0
2881,Bem-estar,178,25.8,Não,6.89,87.6,178.0,2,Intermediário,0,0,2
2882,Maratona,33,6.2,Não,5.31,68.9,170.0,2,Intermediário,2,0,2
2883,Bem-estar,136,17.9,Não,7.58,93.5,173.0,5,Intermediário,0,0,2
2884,Maratona,92,10.2,Não,8.99,69.3,160.0,7,Intermediário,2,0,2
2885,Bem-estar,110,12.0,Não,9.16,67.5,180.0,2,Intermediário,0,0,2
2886,Emagrecimento,109,13.2,Sim,8.23,99.9,188.0,2,Intermediário,1,1,2
2887,Maratona,48,8.2,Não,5.82,74.1,171.0,3,Intermediário,2,0,2
2888,Bem-estar,68,7.7,Não,8.85,90.3,199.0,1,Intermediário,0,0,2
2889,Bem-estar,91,10.2,Não,8.94,90.2,153.0,2,Intermediário,0,0,2
2890,Bem-estar,152,24.0,Não,6.34,96.3,179.0,5,Intermediário,0,0,2
2891,Maratona,61,11.3,Não,5.41,54.2,179.0,3,Intermediário,2,0,2
2892,Maratona,154,17.4,Não,8.87,63.6,152.0,7,Avançado,2,0,0
2893,Maratona,61,6.8,Não,8.93,88.4,161.0,2,Intermediário,2,0,2
2894,Emagrecimento,124,24.8,Não,5.0,78.1,195.0,6,Avançado,1,0,0
2895,Emagrecimento,46,4.9,Não,9.33,78.0,177.0,7,Iniciante,1,0,1
2896,Maratona,77,10.7,Não,7.17,58.3,172.0,5,Intermediário,2,0,2
2897,Bem-estar,65,6.9,Não,9.47,64.1,171.0,1,Intermediário,0,0,2
2898,Emagrecimento,85,12.6,Não,6.73,76.1,194.0,7,Intermediário,1,0,2
2899,Maratona,44,6.1,Não,7.17,63.9,168.0,6,Intermediário,2,0,2
2900,Bem-estar,92,15.8,Não,5.83,60.5,193.0,7,Intermediário,0,0,2
2901,Emagrecimento,136,15.1,Sim,8.99,54.4,165.0,2,Avançado,1,1,0
2902,Bem-estar,174,25.9,Sim,6.72,57.8,177.0,5,Intermediário,0,1,2
2903,Bem-estar,148,17.3,Sim,8.57,88.4,157.0,6,Intermediário,0,1,2
2904,Bem-estar,106,21.6,Não,4.9,85.9,191.0,5,Intermediário,0,0,2
2905,Bem-estar,93,11.0,Sim,8.44,52.3,187.0,4,Intermediário,0,1,2
2906,Emagrecimento,172,24.7,Sim,6.95,60.2,177.0,7,Avançado,1,1,0
2907,Emagrecimento,144,31.8,Não,4.53,78.0,151.0,6,Avançado,1,0,0
2908,Emagrecimento,86,15.3,Não,5.63,66.1,174.0,5,Intermediário,1,0,2
2909,Maratona,25,4.6,Sim,5.47,91.2,161.0,6,Intermediário,2,1,2
2910,Emagrecimento,144,17.4,Não,8.26,89.2,171.0,4,Avançado,1,0,0
2911,Bem-estar,77,11.2,Não,6.89,94.6,193.0,1,Intermediário,0,0,2
2912,Emagrecimento,89,16.8,Não,5.3,78.1,188.0,1,Intermediário,1,0,2
2913,Bem-estar,72,12.5,Não,5.78,67.6,162.0,7,Intermediário,0,0,2
2914,Maratona,85,12.1,Não,7.02,80.3,199.0,3,Intermediário,2,0,2
2915,Bem-estar,77,16.7,Não,4.6,54.5,195.0,6,Intermediário,0,0,2
2916,Bem-estar,101,15.3,Não,6.62,50.5,176.0,4,Intermediário,0,0,2
2917,Bem-estar,106,13.4,Não,7.89,50.9,177.0,5,Intermediário,0,0,2
2918,Maratona,21,3.0,Não,7.09,70.4,195.0,3,Intermediário,2,0,2
2919,Emagrecimento,169,22.6,Não,7.49,61.4,182.0,6,Avançado,1,0,0
2920,Emagrecimento,56,9.1,Não,6.13,57.9,177.0,3,Intermediário,1,0,2
2921,Maratona,167,30.8,Não,5.42,80.8,187.0,6,Avançado,2,0,0
2922,Bem-estar,122,14.3,Não,8.55,99.8,162.0,7,Intermediário,0,0,2
2923,Emagrecimento,43,4.8,Não,9.03,58.9,194.0,7,Iniciante,1,0,1
2924,Maratona,131,18.6,Não,7.05,77.3,177.0,1,Avançado,2,0,0
2925,Emagrecimento,84,13.9,Não,6.03,56.0,180.0,5,Intermediário,1,0,2
2926,Maratona,148,21.0,Não,7.06,96.7,154.0,4,Avançado,2,0,0
2927,Bem-estar,136,15.3,Não,8.89,64.6,165.0,7,Intermediário,0,0,2
2928,Emagrecimento,135,17.0,Não,7.96,93.9,171.0,1,Avançado,1,0,0
2929,Maratona,124,14.1,Não,8.79,64.2,171.0,3,Avançado,2,0,0
2930,Emagrecimento,22,3.6,Não,6.14,90.3,189.0,2,Iniciante,1,0,1
2931,Emagrecimento,65,8.1,Não,8.06,60.5,164.0,7,Intermediário,1,0,2
2932,Emagrecimento,74,9.5,Não,7.77,64.6,159.0,3,Intermediário,1,0,2
2933,Emagrecimento,94,12.8,Sim,7.36,59.6,179.0,2,Intermediário,1,1,2
2934,Maratona,64,9.0,Não,7.14,63.2,181.0,6,Intermediário,2,0,2
2935,Bem-estar,173,23.9,Não,7.25,91.7,156.0,1,Intermediário,0,0,2
2936,Maratona,96,11.0,Não,8.75,82.0,150.0,6,Intermediário,2,0,2
2937,Maratona,43,4.7,Não,9.08,70.3,196.0,4,Intermediário,2,0,2
2938,Maratona,54,10.7,Não,5.06,98.6,154.0,5,Intermediário,2,0,2
2939,Bem-estar,43,5.9,Não,7.34,73.2,195.0,7,Iniciante,0,0,1
2940,Emagrecimento,47,5.2,Não,9.09,98.5,170.0,2,Intermediário,1,0,2
2941,Emagrecimento,35,6.8,Não,5.17,59.8,183.0,7,Intermediário,1,0,2
2942,Emagrecimento,78,11.9,Não,6.56,95.2,159.0,5,Intermediário,1,0,2
2943,Bem-estar,163,32.9,Não,4.95,50.7,191.0,6,Intermediário,0,0,2
2944,Emagrecimento,34,6.7,Não,5.07,77.3,159.0,1,Intermediário,1,0,2
2945,Bem-estar,30,3.3,Não,9.02,71.2,169.0,1,Iniciante,0,0,1
2946,Emagrecimento,98,14.6,Não,6.73,76.3,162.0,6,Intermediário,1,0,2
2947,Emagrecimento,134,16.9,Não,7.94,77.7,192.0,6,Avançado,1,0,0
2948,Maratona,87,16.8,Não,5.19,69.5,193.0,1,Avançado,2,0,0
2949,Bem-estar,62,13.4,Não,4.61,99.9,169.0,4,Intermediário,0,0,2
2950,Maratona,88,9.8,Não,8.95,98.8,165.0,2,Intermediário,2,0,2
2951,Maratona,160,21.7,Sim,7.37,98.1,189.0,5,Avançado,2,1,0
2952,Maratona,157,34.1,Não,4.6,99.0,194.0,3,Avançado,2,0,0
2953,Bem-estar,94,9.9,Não,9.46,89.7,181.0,7,Intermediário,0,0,2
2954,Bem-estar,122,17.5,Sim,6.96,99.4,196.0,6,Intermediário,0,1,2
2955,Emagrecimento,60,8.7,Não,6.88,94.6,169.0,6,Intermediário,1,0,2
2956,Maratona,78,10.3,Não,7.6,70.8,158.0,7,Intermediário,2,0,2
2957,Emagrecimento,58,12.8,Não,4.54,89.2,159.0,1,Intermediário,1,0,2
2958,Maratona,22,3.0,Não,7.35,95.6,183.0,5,Intermediário,2,0,2
2959,Bem-estar,26,3.4,Não,7.65,85.6,170.0,5,Iniciante,0,0,1
2960,Bem-estar,68,11.4,Não,5.98,71.1,158.0,4,Intermediário,0,0,2
2961,Bem-estar,45,5.5,Sim,8.13,53.3,165.0,2,Iniciante,0,1,1
2962,Maratona,180,28.2,Não,6.39,90.5,177.0,4,Avançado,2,0,0
2963,Bem-estar,120,14.8,Sim,8.09,97.6,156.0,4,Intermediário,0,1,2
2964,Maratona,98,18.8,Não,5.22,68.1,150.0,5,Avançado,2,0,0
2965,Emagrecimento,21,2.3,Não,9.07,57.6,196.0,2,Iniciante,1,0,1
2966,Maratona,146,16.4,Não,8.9,66.3,165.0,2,Avançado,2,0,0
2967,Emagrecimento,179,34.1,Não,5.25,79.1,161.0,2,Avançado,1,0,0
2968,Maratona,151,16.4,Não,9.19,65.8,185.0,7,Avançado,2,0,0
2969,Emagrecimento,39,5.3,Não,7.29,80.5,193.0,1,Intermediário,1,0,2
2970,Bem-estar,136,17.0,Não,8.01,98.3,182.0,2,Intermediário,0,0,2
2971,Emagrecimento,51,5.9,Não,8.7,83.5,163.0,5,Intermediário,1,0,2
2972,Bem-estar,47,9.6,Não,4.92,68.1,193.0,7,Iniciante,0,0,1
2973,Bem-estar,96,17.9,Sim,5.35,96.8,176.0,1,Intermediário,0,1,2
